E701 wifi_1
E70D chevron_down
E710 add
E712 more_horizontal
E713 settings
E714 video
E718 pin
E71A stop
E71B link
E71D apps_list
E721 search
E722 camera
E72B arrow_left
E72C arrow_clockwise
E72E lock_closed
E73E checkmark
E740 full_screen_maximize
E74A arrow_up
E74D delete
E74E save
E74F speaker_mute
E765 keyboard
E767 speaker_2
E768 play
E772 phone_laptop
E777 arrow_reset
E783 error_circle
E793 brightness_high
E7B8 box
E7C4 window_multiple
E7C8 record
E7E8 power
E7EF shield
E7F4 desktop
E80F home
E815 tap_single
E88E usb_stick
E890 eye
E894 dismiss
E896 arrow_download
E898 arrow_upload
E8A5 document
E8AB arrow_swap
E8B7 folder
E8D6 music_note_2
E8EA phone
E8F4 folder_add
E90F wrench
E946 info
E962 cursor_click
E993 speaker_1
E995 speaker_2
EB9F image
F012 folder_zip
F140 prohibited
